sep=;
Time;Timestamp;Event;Count Rate, cps;Dose rate, R/h;Dose Rate Error, %;Dose Rate Alarm;Dose Alarm;Duration of dose accumulation, sec.;Dose, R;Temperature;Latitude;Longitude;Comment
2026-03-28 22:23:31.705;134192102117050000;;40.17347;1.5627939E-4;9.7;0;0;;;;;;
2026-03-28 22:23:32.205;134192102122050000;;44.75;1.8615316E-4;27.0;0;0;;;;;;
2026-03-28 22:23:43.455;134192102234550000;;35.916668;1.3145345E-4;27.0;0;0;;;;;;
2026-03-28 22:23:44.455;134192102244550000;;26.0;7.185058E-5;59.0;0;0;;;;;;
2026-03-28 22:23:45.955;134192102259550000;;28.5;8.66333E-5;59.0;0;0;;;;;;
2026-03-28 22:23:48.455;134192102284550000;;40.85294;1.6555464E-4;15.4;0;0;;;;;;
2026-03-28 22:23:48.855;134192102288550000;;;;;0;0;421774;0.002391;-38.5;;;
2026-03-28 22:24:20.955;134192102609550000;;42.47059;1.7747875E-4;15.4;0;0;;;;;;
2026-03-28 22:24:22.955;134192102629550000;;34.85;1.0825195E-4;24.0;0;0;;;;;;
2026-03-28 22:24:40.955;134192102809550000;;35.45;1.3122315E-4;24.0;0;0;;;;;;
2026-03-28 22:24:42.955;134192102829550000;;44.375;1.4146118E-4;32.3;0;0;;;;;;
2026-03-28 22:24:45.955;134192102859550000;;48.625;1.6739502E-4;32.3;0;0;;;;;;
2026-03-28 22:24:48.855;134192102888550000;;;;;0;0;421834;0.002393;-40.2;;;
2026-03-28 22:24:50.955;134192102909550000;;31.87755;1.0525351E-4;14.9;0;0;;;;;;
2026-03-28 22:25:38.705;134192103387050000;;38.204082;1.4200713E-4;14.9;0;0;;;;;;
2026-03-28 22:25:39.205;134192103392050000;;28.428572;7.057059E-5;22.0;0;0;;;;;;
2026-03-28 22:25:48.855;134192103488550000;;;;;0;0;421894;0.002395;-41.7;;;
2026-03-28 22:26:06.705;134192103667050000;;31.25;1.20811244E-4;22.0;0;0;;;;;;
2026-03-28 22:26:07.205;134192103672050000;;8.0;1.8554688E-6;99.0;0;0;;;;;;
2026-03-28 22:26:07.455;134192103674550000;;13.0;1.9384766E-5;99.0;0;0;;;;;;
2026-03-28 22:26:08.205;134192103682050000;;25.875;5.426636E-5;42.5;0;0;;;;;;
2026-03-28 22:26:15.835;134192103758350000;;36.0;1.3789673E-4;42.5;0;0;;;;;;
2026-03-28 22:26:16.075;134192103760750000;;78.0;3.9705078E-4;46.2;0;0;;;;;;
2026-03-28 22:26:18.325;134192103783250000;;37.2;9.5429685E-5;46.2;0;0;;;;;;
2026-03-28 22:26:18.575;134192103785750000;;28.0;9.6191405E-5;94.1;0;0;;;;;;
2026-03-28 22:26:18.955;134192103789550000;;28.0;1.7612305E-4;94.1;0;0;;;;;;
2026-03-28 22:26:19.705;134192103797050000;;180.0;6.4433593E-4;62.7;0;0;;;;;;
2026-03-28 22:26:20.085;134192103800850000;;20.0;7.9101565E-6;99.0;0;0;;;;;;
2026-03-28 22:26:20.465;134192103804650000;;19.0;1.6845703E-5;99.0;0;0;;;;;;
2026-03-28 22:26:21.205;134192103812050000;;35.92857;1.4081683E-4;19.2;0;0;;;;;;
2026-03-28 22:26:46.955;134192104069550000;;36.07143;1.2929339E-4;19.2;0;0;;;;;;
2026-03-28 22:26:48.855;134192104088550000;;;;;0;0;421954;0.002397;-42.9;;;
2026-03-28 22:26:50.955;134192104109550000;;42.708332;1.427531E-4;21.2;0;0;;;;;;
2026-03-28 22:27:10.955;134192104309550000;;34.208332;1.0746053E-4;21.2;0;0;;;;;;
2026-03-28 22:27:14.955;134192104349550000;;31.0;1.13989256E-4;40.3;0;0;;;;;;
2026-03-28 22:27:20.835;134192104408350000;;33.875;1.4086915E-4;40.3;0;0;;;;;;
2026-03-28 22:27:21.075;134192104410750000;;76.0;3.8046876E-4;89.4;0;0;;;;;;
2026-03-28 22:27:21.205;134192104412050000;;76.0;3.8046876E-4;89.4;0;0;;;;;;
2026-03-28 22:27:21.575;134192104415750000;;24.378378;7.641734E-5;27.7;0;0;;;;;;
2026-03-28 22:27:38.955;134192104589550000;;26.756756;9.370777E-5;27.7;0;0;;;;;;
2026-03-28 22:27:40.955;134192104609550000;;34.25;1.3052368E-4;36.2;0;0;;;;;;
2026-03-28 22:27:47.705;134192104677050000;;34.625;1.37854E-4;36.2;0;0;;;;;;
2026-03-28 22:27:48.205;134192104682050000;;61.0;2.0603028E-4;63.0;0;0;;;;;;
2026-03-28 22:27:48.855;134192104688550000;;;;;0;0;422014;0.002399;-43.8;;;
2026-03-28 22:27:48.955;134192104689550000;;58.5;1.8466797E-4;63.0;0;0;;;;;;
2026-03-28 22:27:50.205;134192104702050000;;31.1;1.4264649E-4;30.9;0;0;;;;;;
2026-03-28 22:27:54.955;134192104749550000;;32.5;1.5197265E-4;30.9;0;0;;;;;;
2026-03-28 22:28:01.955;134192104819550000;;26.554113;8.365632E-5;12.2;0;0;;;;;;
2026-03-28 22:28:48.855;134192105288550000;;;;;0;0;422074;0.002401;-44.6;;;
2026-03-28 22:28:57.705;134192105377050000;;24.675325;7.799014E-5;12.2;0;0;;;;;;
2026-03-28 22:29:48.855;134192105888550000;;;;;0;0;422134;0.002402;-45.3;;;
2026-03-28 22:30:00.955;134192106009550000;;22.353909;7.2125775E-5;11.9;0;0;;;;;;
2026-03-28 22:30:01.955;134192106019550000;;39.0;1.8696289E-4;69.5;0;0;;;;;;
2026-03-28 22:30:02.455;134192106024550000;;35.5;1.5075684E-4;69.5;0;0;;;;;;
2026-03-28 22:30:03.955;134192106039550000;;24.125;9.226685E-5;44.5;0;0;;;;;;
2026-03-28 22:30:11.325;134192106113250000;;16.25;6.991577E-5;44.5;0;0;;;;;;
2026-03-28 22:30:11.575;134192106115750000;;6.0;4.6289064E-5;99.0;0;0;;;;;;
2026-03-28 22:30:11.705;134192106117050000;;6.0;4.6289064E-5;99.0;0;0;;;;;;
2026-03-28 22:30:12.085;134192106120850000;;20.930233;6.1559775E-5;21.6;0;0;;;;;;
2026-03-28 22:30:48.855;134192106488550000;;;;;0;0;422194;0.002403;-45.7;;;
2026-03-28 22:30:53.955;134192106539550000;;19.139534;6.702285E-5;21.6;0;0;;;;;;
2026-03-28 22:30:55.955;134192106559550000;;10.25;1.4306641E-5;99.0;0;0;;;;;;
2026-03-28 22:30:56.955;134192106569550000;;10.5;1.6894532E-5;99.0;0;0;;;;;;
2026-03-28 22:31:00.955;134192106609550000;;28.75;7.446289E-5;61.3;0;0;;;;;;
2026-03-28 22:31:03.955;134192106639550000;;16.65;6.329834E-5;34.5;0;0;;;;;;
2026-03-28 22:31:20.955;134192106809550000;;14.3;4.9370115E-5;34.5;0;0;;;;;;
2026-03-28 22:31:24.955;134192106849550000;;21.125;7.0349124E-5;48.2;0;0;;;;;;
2026-03-28 22:31:26.955;134192106869550000;;21.25;7.025757E-5;48.2;0;0;;;;;;
2026-03-28 22:31:32.955;134192106929550000;;14.964286;4.3923515E-5;21.9;0;0;;;;;;
2026-03-28 22:31:48.855;134192107088550000;;;;;0;0;422254;0.002404;-45.5;;;
2026-03-28 22:32:24.955;134192107449550000;;15.035714;5.4887172E-5;21.9;0;0;;;;;;
2026-03-28 22:32:28.955;134192107489550000;;10.0;3.8638307E-5;46.4;0;0;;;;;;
2026-03-28 22:32:42.455;134192107624550000;;11.875;4.234009E-5;46.4;0;0;;;;;;
2026-03-28 22:32:43.455;134192107634550000;;16.5;5.805664E-5;99.0;0;0;;;;;;
2026-03-28 22:32:43.955;134192107639550000;;19.0;7.1801755E-5;99.0;0;0;;;;;;
2026-03-28 22:32:45.455;134192107654550000;;8.0;2.7453614E-5;76.2;0;0;;;;;;
2026-03-28 22:32:46.955;134192107669550000;;9.0;3.0200195E-5;76.2;0;0;;;;;;
2026-03-28 22:32:48.855;134192107688550000;;;;;0;0;422314;0.002405;-44.8;;;
2026-03-28 22:32:49.955;134192107699550000;;28.5;7.282715E-5;85.7;0;0;;;;;;
2026-03-28 22:32:51.455;134192107714550000;;10.28;2.7100097E-5;21.1;0;0;;;;;;
2026-03-28 22:33:40.955;134192108209550000;;9.67;2.8452636E-5;21.1;0;0;;;;;;
2026-03-28 22:33:48.855;134192108288550000;;;;;0;0;422374;0.002405;-43.6;;;
2026-03-28 22:34:48.855;134192108888550000;;;;;0;0;422434;0.002406;-42.1;;;
2026-03-28 22:35:20.955;134192109209550000;;7.27;2.560791E-5;22.3;0;0;;;;;;
2026-03-28 22:35:48.855;134192109488550000;;;;;0;0;422494;0.002406;-40.2;;;
2026-03-28 22:36:16.955;134192109769550000;;3.6666667;1.18815105E-5;86.8;0;0;;;;;;
2026-03-28 22:36:21.955;134192109819550000;;2.0833333;4.3619793E-6;86.8;0;0;;;;;;
2026-03-28 22:36:23.955;134192109839550000;;9.714286;3.682338E-5;87.1;0;0;;;;;;
2026-03-28 22:36:29.705;134192109897050000;;0.14285715;1.6113281E-6;87.1;0;0;;;;;;
2026-03-28 22:36:30.205;134192109902050000;;58.0;1.8984375E-4;99.0;0;0;;;;;;
2026-03-28 22:36:30.455;134192109904550000;;32.0;9.570312E-5;99.0;0;0;;;;;;
2026-03-28 22:36:31.205;134192109912050000;;4.616162;1.7073568E-5;33.2;0;0;;;;;;
2026-03-28 22:36:48.855;134192110088550000;;;;;0;0;422554;0.002407;-37.9;;;
2026-03-28 22:37:20.455;134192110404550000;;3.909091;1.2688901E-5;33.2;0;0;;;;;;
2026-03-28 22:37:48.855;134192110688550000;;;;;0;0;422614;0.002407;-35.3;;;
2026-03-28 22:38:48.855;134192111288550000;;;;;0;0;422674;0.002407;-32.3;;;
2026-03-28 22:38:57.955;134192111379550000;;2.625;8.084615E-6;41.1;0;0;;;;;;
2026-03-28 22:39:48.855;134192111888550000;;;;;0;0;422734;0.002407;-29.2;;;
2026-03-28 22:40:33.955;134192112339550000;;1.84375;7.386271E-6;43.6;0;0;;;;;;
2026-03-28 22:40:48.855;134192112488550000;;;;;0;0;422794;0.002408;-26.2;;;
2026-03-28 22:41:48.855;134192113088550000;;;;;0;0;422854;0.002408;-22.9;;;
2026-03-28 22:42:09.955;134192113299550000;;1.4166666;5.8563232E-6;49.8;0;0;;;;;;
2026-03-28 22:42:48.855;134192113688550000;;;;;0;0;422914;0.002408;-19.5;;;
2026-03-28 22:43:45.955;134192114259550000;;0.8541667;3.515625E-6;59.7;0;0;;;;;;
2026-03-28 22:43:48.855;134192114288550000;;;;;0;0;422974;0.002408;-16.0;;;
2026-03-28 22:44:48.855;134192114888550000;;;;;0;0;423034;0.002408;-12.6;;;
2026-03-28 22:45:21.955;134192115219550000;;0.9895833;4.5227052E-6;54.6;0;0;;;;;;
2026-03-28 22:45:48.855;134192115488550000;;;;;0;0;423094;0.002408;-9.3;;;
2026-03-28 22:46:48.855;134192116088550000;;;;;0;0;423154;0.002408;-6.1;;;
2026-03-28 22:46:57.955;134192116179550000;;1.09375;2.1799724E-6;73.3;0;0;;;;;;
2026-03-28 22:47:48.855;134192116688550000;;;;;0;0;423214;0.002408;-2.6;;;
2026-03-28 22:48:09.955;134192116899550000;;1.6875;1.1149089E-6;73.9;0;0;;;;;;
2026-03-28 22:48:29.955;134192117099550000;;2.1041667;1.6937256E-6;73.9;0;0;;;;;;
2026-03-28 22:48:37.955;134192117179550000;;5.5277777;8.879598E-6;23.1;0;0;;;;;;
2026-03-28 22:48:48.855;134192117288550000;;;;;0;0;423274;0.002408;0.8;;;
2026-03-28 22:49:45.955;134192117859550000;;6.3194447;8.205159E-6;23.1;0;0;;;;;;
2026-03-28 22:49:48.855;134192117888550000;;;;;0;0;423334;0.002408;3.9;;;
2026-03-28 22:50:48.855;134192118488550000;;;;;0;0;423394;0.002409;6.8;;;
2026-03-28 22:51:45.955;134192119059550000;;6.40625;7.64211E-6;28.5;0;0;;;;;;
2026-03-28 22:51:48.855;134192119088550000;;;;;0;0;423454;0.002409;9.4;;;
2026-03-28 22:52:48.855;134192119688550000;;;;;0;0;423514;0.002409;11.7;;;
2026-03-28 22:53:21.955;134192120019550000;;6.5416665;8.914693E-6;29.1;0;0;;;;;;
2026-03-28 22:53:48.855;134192120288550000;;;;;0;0;423574;0.002409;13.6;;;
2026-03-28 22:54:48.855;134192120888550000;;;;;0;0;423634;0.002409;15.3;;;
2026-03-28 22:54:57.955;134192120979550000;;6.5104165;8.898417E-6;29.5;0;0;;;;;;
