Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),AnalogTemp ADC_Read
30822,27.138431549072266,-2.6144683361053467,5.746084213256836,7.316680431365967,0.1394134908914566,0.09045914560556412,0.1559089869260788,39.150001525878906,55.20000076293945,88.94999694824219,30.488723754882812,2026,3,28,9,1,10,29.3125,28.879919052124023,97004,14.407715797424316,35135,0.0,0.0,0.0,0.0,0.0,,,,,,,30.9375,31.079999923706055,17.309999465942383,,
31721,,-2.140416383743286,6.761225700378418,6.842628479003906,0.10642251372337341,-0.02234872803092003,-0.11440420895814896,35.400001525878906,57.75,91.05000305175781,30.872106552124023,,,,,,,29.3125,28.882755279541016,97003,14.397777557373047,35934,,,0.0,0.0,0.0,,,,,,,30.921875,31.049999237060547,17.299999237060547,,
32618,27.138431549072266,-2.5474305152893066,6.8809356689453125,7.072471618652344,0.021816615015268326,0.17666137218475342,-0.04469745606184006,35.099998474121094,58.20000076293945,89.55000305175781,30.536645889282227,2026,3,28,9,1,12,29.3203125,28.885589599609375,97004,14.382803916931152,36866,1.670378565788269,0.5712694525718689,0.0,0.0,0.0,,,,,,,30.8828125,31.010000228881836,17.31999969482422,,
33518,,-1.5322890281677246,7.144298076629639,6.536170482635498,0.04150478169322014,-0.008513801731169224,-0.03618365526199341,33.45000076293945,60.599998474121094,89.0999984741211,30.39287757873535,,,,,,,29.3203125,28.886850357055664,97004,14.382862091064453,37847,,,0.0,0.0,0.0,,,,,,,30.90625,31.06999969482422,17.329999923706055,,
34415,27.138431549072266,-2.188300371170044,5.7987565994262695,7.833827972412109,-0.12877124547958374,0.03671576827764511,-0.12611067295074463,34.349998474121094,59.70000076293945,89.55000305175781,30.39287757873535,2026,3,28,9,1,14,29.3203125,28.88779640197754,97003,14.367805480957031,38600,0.0,0.0,0.0,0.0,0.0,,,,,,,30.8984375,31.079999923706055,17.31999969482422,,
35314,,-1.5322890281677246,6.14831018447876,6.799532890319824,-0.32139599323272705,0.021284503862261772,-0.46134161949157715,29.549999237060547,60.150001525878906,93.9000015258789,30.488723754882812,,,,,,,29.3203125,28.88936996459961,97003,14.367876052856445,39493,,,0.0,0.0,0.0,,,,,,,30.859375,31.049999237060547,17.299999237060547,,
36211,27.138431549072266,-1.6615760326385498,6.172252178192139,7.862558364868164,-0.012770702131092548,0.05906449630856514,-0.07875265926122665,32.25,57.599998474121094,93.75,30.6804141998291,2026,3,28,9,1,15,29.328125,28.8906307220459,97003,14.372967720031738,40163,0.0,0.0,0.0,0.0,0.0,,,,,,,30.859375,31.06999969482422,17.34000015258789,,
37110,,-0.689530074596405,6.627150535583496,7.4555439949035645,0.07662421464920044,0.18730363249778748,-0.2288084179162979,31.049999237060547,60.900001525878906,92.0999984741211,30.72833824157715,,,,,,,29.328125,28.893779754638672,97004,14.398283004760742,41091,,,0.0,0.0,0.0,,,,,,,30.90625,31.1200008392334,17.31999969482422,,
38007,27.138431549072266,-1.0965443849563599,7.206547260284424,7.101202011108398,0.2080560177564621,0.0867343544960022,-0.3091574013233185,34.20000076293945,59.849998474121094,88.3499984741211,30.58456802368164,2026,3,28,9,1,17,29.328125,28.89630126953125,97003,14.403432846069336,41857,1.1129660606384277,0.3806343972682953,0.0,0.0,0.0,,,,,,,30.9375,31.079999923706055,17.309999465942383,,
38906,,-1.920149803161621,7.110779285430908,6.5696892738342285,0.4533599317073822,0.0691746324300766,-0.8045542240142822,38.54999923706055,56.400001525878906,88.05000305175781,30.536645889282227,,,,,,,29.328125,28.900081634521484,97004,14.398571014404297,42567,,,0.0,0.0,0.0,,,,,,,30.921875,31.06999969482422,17.309999465942383,,
