Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog ADC
27282,,0.9768342971801758,-0.15801730751991272,9.706093788146973,-0.0026605629827827215,0.005321125965565443,-0.01489915233105421,-8.399999618530273,10.949999809265137,78.30000305175781,26.9903564453125,,,,,,,25.4921875,25.279903411865234,96895,17.352920532226562,92119,,,0.0,0.0,0.0,,,,,,,25.5859375,25.600000381469727,21.84000015258789,,594
28180,29.947261810302734,0.9385270476341248,-0.1149216815829277,9.701305389404297,-0.005853238515555859,0.009578026831150055,-0.018623940646648407,-8.25,11.25,78.0,27.086200714111328,2000,1,0,0,0,47,25.4921875,25.280532836914062,96895,17.342710494995117,94221,0.5555555820465088,0.1900000125169754,0.0,0.0,0.0,,,,,,,25.5859375,25.600000381469727,21.850000381469727,,569
29081,,0.9624691009521484,-0.16759411990642548,9.749189376831055,-0.002128450432792306,-0.006385351065546274,-0.018623940646648407,-11.850000381469727,11.550000190734863,80.25,26.846586227416992,,,,,,,25.4921875,25.282108306884766,96896,17.337675094604492,95114,,,0.0,0.0,0.0,,,,,,,25.5703125,25.610000610351562,21.860000610351562,,592
29980,29.479116439819336,0.9672574996948242,-0.17717093229293823,9.720458984375,-0.002128450432792306,0.001064225216396153,-0.023412954062223434,-12.0,10.649999618530273,80.8499984741211,27.18204689025879,2000,1,0,0,0,49,25.4921875,25.283998489379883,96895,17.322406768798828,95380,0.0,0.0,0.0,0.0,0.0,,,,,,,25.5703125,25.59000015258789,21.8799991607666,,569
30881,,1.0199298858642578,-0.11971008777618408,9.773131370544434,-0.005853238515555859,0.0005321126081980765,-0.021284503862261772,-12.0,11.699999809265137,81.1500015258789,27.038278579711914,,,,,,,25.4921875,25.287464141845703,96896,17.31235122680664,96622,,,0.0,0.0,0.0,,,,,,,25.5625,25.600000381469727,21.889999389648438,,597
31780,29.479116439819336,0.9576807022094727,-0.15322890877723694,9.739612579345703,-0.0047890134155750275,0.0037247880827635527,-0.014367039315402508,-8.399999618530273,11.399999618530273,80.0999984741211,27.038278579711914,2000,1,0,0,0,51,25.5,25.28809356689453,96895,17.31238555908203,97560,0.0,0.0,0.0,0.0,0.0,,,,,,,25.5625,25.610000610351562,21.8700008392334,,574
32681,,0.9864110946655273,-0.1388636976480484,9.715670585632324,-0.0005321126081980765,0.006385351065546274,-0.025541404262185097,-9.300000190734863,10.5,78.75,27.086200714111328,,,,,,,25.5,25.289669036865234,96895,17.317588806152344,97952,,,0.0,0.0,0.0,,,,,,,25.5625,25.59000015258789,21.8700008392334,,600
33579,29.479116439819336,0.9720458984375,-0.12928688526153564,9.715670585632324,0.0,0.0047890134155750275,-0.023412954062223434,-7.800000190734863,11.25,77.69999694824219,26.9903564453125,2000,1,0,0,0,53,25.5,25.28998374938965,96895,17.302242279052734,98348,1.1111111640930176,0.3800000250339508,0.0,0.0,0.0,,,,,,,25.5546875,25.59000015258789,21.8799991607666,,577
34480,,1.0199298858642578,-0.12928688526153564,9.710882186889648,0.0005321126081980765,0.005853238515555859,-0.02288084104657173,-9.0,11.25,78.44999694824219,26.9903564453125,,,,,,,25.5,25.291244506835938,96895,17.312551498413086,99610,,,0.0,0.0,0.0,,,,,,,25.5546875,25.6299991607666,21.899999618530273,,600
35379,29.947261810302734,0.9911994934082031,-0.11013327538967133,9.749189376831055,-0.005321125965565443,0.0015963377663865685,-0.011706477031111717,-7.349999904632568,12.600000381469727,76.5,27.18204689025879,2000,1,0,0,0,54,25.5,25.29281997680664,96895,17.3177547454834,100372,0.0,0.0,0.0,0.0,0.0,,,,,,,25.5625,25.59000015258789,21.8700008392334,,578
36280,,1.0103530883789062,-0.11971008777618408,9.749189376831055,0.0005321126081980765,0.002128450432792306,-0.01489915233105421,-11.550000190734863,11.550000190734863,79.19999694824219,26.798664093017578,,,,,,,25.5,25.293764114379883,96895,17.30756378173828,100966,,,0.0,0.0,0.0,,,,,,,25.546875,25.56999969482422,21.899999618530273,,594
37179,29.947261810302734,0.9816226959228516,-0.12928688526153564,9.768342971801758,-0.003192675532773137,0.0026605629827827215,-0.02766985446214676,-12.449999809265137,10.949999809265137,80.0999984741211,27.18204689025879,2000,1,0,0,0,56,25.5,25.295339584350586,96895,17.302528381347656,101627,0.5555555820465088,0.1900000125169754,0.0,0.0,0.0,,,,,,,25.546875,25.610000610351562,21.8700008392334,,577
38079,,1.0055646896362305,-0.15322890877723694,9.739612579345703,-0.0026605629827827215,0.0047890134155750275,-0.017559714615345,-11.100000381469727,11.550000190734863,79.80000305175781,26.89451026916504,,,,,,,25.5078125,25.296283721923828,96895,17.312814712524414,101688,,,0.0,0.0,0.0,,,,,,,25.546875,25.579999923706055,21.899999618530273,,594
38978,29.947261810302734,0.9289502501487732,-0.14844051003456116,9.682151794433594,-0.005321125965565443,0.005321125965565443,-0.021284503862261772,-11.850000381469727,10.800000190734863,81.0,26.9903564453125,2000,1,0,0,0,58,25.5078125,25.297229766845703,96896,17.29750633239746,103101,0.0,0.0,0.0,0.0,0.0,,,,,,,25.53125,25.600000381469727,21.8799991607666,,570
39879,,0.9576807022094727,-0.14365209639072418,9.730035781860352,-0.0037247880827635527,0.003192675532773137,-0.02607351541519165,-10.800000190734863,11.550000190734863,79.5,27.18204689025879,,,,,,,25.5,25.29848861694336,96895,17.297571182250977,103980,,,0.0,0.0,0.0,,,,,,,25.5390625,25.600000381469727,21.920000076293945,,594
40778,29.947261810302734,0.9864110946655273,-0.10055647045373917,9.801861763000488,0.0,0.0037247880827635527,-0.017559714615345,-7.650000095367432,10.649999618530273,76.5,27.086200714111328,2000,1,0,0,1,0,25.5078125,25.298175811767578,96896,17.302677154541016,104298,0.0,0.0,0.0,0.0,0.0,,,,,,,25.5390625,25.59000015258789,21.93000030517578,,568
41679,,0.9528923034667969,-0.11971008777618408,9.725247383117676,-0.0047890134155750275,0.004256900865584612,-0.021284503862261772,-9.0,11.25,78.75,27.18204689025879,,,,,,,25.515625,25.29785919189453,96895,17.29753875732422,104810,,,0.0,0.0,0.0,,,,,,,25.5234375,25.579999923706055,21.93000030517578,,593
